poliza;predio_cop_2024;estrato;sistema_constructivo;tipo_predio;localidad;area_construida;alcobas;banos;subestructura_cimentacion;divisiones_interiores;fachada;ventaneria;pisos_alcobas;tipo_cocina;pisos_baños;lavadero;puerta_principal;puertas_interiores
7329;482545.8503;4;Tradicional aporticado;Apartamento;Santa fe;26;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7330;493945.996;4;Tradicional aporticado;Apartamento;Santa fe;28;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7331;406717.2167;4;Tradicional aporticado;Apartamento;Santa fe;29;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7332;539417.3256;4;Tradicional aporticado;Apartamento;Santa fe;32;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7333;590601.6532;4;Tradicional aporticado;Apartamento;Santa fe;33;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7334;579055.0204;4;Tradicional aporticado;Apartamento;Santa fe;35;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7335;661777.1662;4;Tradicional aporticado;Apartamento;Santa fe;38;1;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7336;730107.382;4;Tradicional aporticado;Apartamento;Santa fe;41;2;1;Cimentaciones - Caissons;Bloque de arcilla;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Sin definir;Madera
7337;560097.862;4;Tradicional aporticado;Apartamento;Usaquen;56;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7338;610075.8251;4;Tradicional aporticado;Apartamento;Usaquen;58;2;1;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7339;653160.276;4;Tradicional aporticado;Apartamento;Usaquen;66;2;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7340;753116.2021;4;Tradicional aporticado;Apartamento;Usaquen;77;2;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7341;877199.4208;4;Tradicional aporticado;Apartamento;Usaquen;88;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7342;939241.0301;4;Tradicional aporticado;Apartamento;Usaquen;94;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7343;1085728.163;4;Tradicional aporticado;Apartamento;Usaquen;111;3;3;Cimentaciones - Pilotes;Bloque de arcilla;Ladrillo a la vista;Aluminio;Ceramica;Integral;Ceramica;Sin definir;Madera;Madecor
7344;947857.9203;4;Industrializado - Forsa;Apartamento;Fontibón;80;3;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
7345;827221.4577;4;Industrializado - Forsa;Apartamento;Fontibón;68;2;2;Cimentaciones - Pilotes;Concreto;Ladrillo a la vista;Aluminio;Laminado madera;Integral;Ceramica;Vidrio;Madera;Madera
